uuid,who,intro,name,correct,github,year,reason
i-SQjVVR6g2ctf3qCJhmDAXk,Q4959140,Anf. 162 Statsrådet MAJ-INGER KLINGVALL (s):,MAJ-INGER KLINGVALL,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199697/prot-199697--48.xml,1996,
i-6TWijANfPprWkiRZsPDD7o,Q4946821,Anf. 164 MARIE ENGSTRÖM (v) replik:,MARIE ENGSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199798/prot-199798--74.xml,1997,
i-D1tCxuN5cHCJA4vDz3xcyU,Q4931118,Anf. 169 BO KÖNBERG (fp) replik:,BO KÖNBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199798/prot-199798--120.xml,1997,
i-3tJkAuULUeARKTQDbJKxRz,Q52920,Anf. 164 FREDRIK REINFELDT (m):,FREDRIK REINFELDT,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199798/prot-199798--40.xml,1997,
i-uJZVmkVkWNUWdn1BwaLoL,Q1375199,Anf. 106 PER WESTERBERG (m) replik:,PER WESTERBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199899/prot-199899--38.xml,1998,
i-SJvnaqaL5r1nKFmQKLYjmM,Q4944157,Anf. 375 BRITT-MARIE DANESTIG (v) replik:,BRITT-MARIE DANESTIG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199899/prot-199899--43.xml,1998,
i-FzZEyfVCKDipMWFNkFWWqH,Q5816531,Anf. 1 SVEN HULTERSTRÖM (s):,SVEN HULTERSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199899/prot-199899--27.xml,1998,
i-TNh4VTWhuJU81qPBd78gfk,Q4794608,Anf. 100 ARNE KJÖRNSBERG (s) replik:,ARNE KJÖRNSBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/19992000/prot-19992000--127.xml,1999,
i-WPuW1H5ZaM7DPmfKvpr8kW,Q960693,Anf. 39 LENNART DALÉUS (c):,LENNART DALÉUS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/19992000/prot-19992000--64.xml,1999,
i-29G4WQzVnAFrnzbERmCjR5,Q5796375,Anf. 135 LENNART HEDQUIST (m):,LENNART HEDQUIST,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/19992000/prot-19992000--51.xml,1999,
i-SgNsxczuAZEPZBK8WVdfvG,Q4916289,Anf. 121 BIRGITTA AHLQVIST (s) replik:,BIRGITTA AHLQVIST,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200001/prot-200001--24.xml,2000,
i-L9SEtA8eHQTkDuYp89YwXj,Q3358763,Anf. 98 MONICA GREEN (s) replik:,MONICA GREEN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200001/prot-200001--52.xml,2000,
i-EJjap6DaEfkfPcPybQPNfs,Q4979996,Anf. 18 KERSTIN-MARIA STALIN (mp):,KERSTIN-MARIA STALIN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200001/prot-200001--89.xml,2000,
i-BtnscM1hm3uqy9WNpwvcVB,Q3115681,SKOG (s) replik:,SKOG,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200102/prot-200102--38.xml,2001,"bug in name matching, switch ""in"" for ""=="""
i-UZxfpNoshLNVECxZVFZ7J9,Q5969883,Anf. 29 JOHAN LÖNNROTH (v) replik:,JOHAN LÖNNROTH,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200102/prot-200102--123.xml,2001,
i-X3pr6ALGDGPeBBc7g2b95Q,Q4354173,Anf. 167 ALICE ÅSTRÖM (v):,ALICE ÅSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200102/prot-200102--72.xml,2001,
i-WnhQHb19QsYcTJSoDbdN4W,Q3297193,Anf. 57 Utbildningsminister THOMAS ÖSTROS (s):,THOMAS ÖSTROS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200203/prot-200203--109.xml,2002,
i-2Bg5rc91D1NrQ8sQAYJhh8,Q918261,Anf. 62 GÖRAN HÄGGLUND (kd):,GÖRAN HÄGGLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200203/prot-200203--48.xml,2002,
i-Y3JQh6xMQPwqiaB725S87q,Q5588504,Anf. 113 SVEN BRUS (kd) replik:,SVEN BRUS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200203/prot-200203--38.xml,2002,
i-98DHcAkpnbfAF2V7ku7m1A,Q4355921,Anf. 27 LUCIANO ASTUDILLO (s):,LUCIANO ASTUDILLO,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200304/prot-200304--29.xml,2003,
i-Drib1CgpUHMENa8wdhsuCj,Q5619098,Anf. 96 GUNNAR NORDMARK (fp):,GUNNAR NORDMARK,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200304/prot-200304--109.xml,2003,
i-AjDycjHvpQMHWXd3bGdxP1,Q4994151,Anf. 16 JAN BJÖRKMAN (s) replik:,JAN BJÖRKMAN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200304/prot-200304--93.xml,2003,
i-By4KBnN6Lkoy9uEZcfg9tw,Q4750415,Anf. 154 ANA MARIA NARTI (fp):,ANA MARIA NARTI,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200405/prot-200405--83.xml,2004,
i-PmKzQNuiejfrg3riZmex24,Q3369220,Anf. 37 URBAN AHLIN (s) replik:,URBAN AHLIN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200405/prot-200405--51.xml,2004,
i-HxoRqAxzGwJCZhhzQ5C2Rh,Q5958869,Anf. 65 TORSTEN LINDSTRÖM (kd):,TORSTEN LINDSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200405/prot-200405--67.xml,2004,
i-LadEmvhbLThdvSDahGfHSZ,Q3431836,Anf. 25 Statsrådet LENA HALLENGREN (s):,LENA HALLENGREN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200506/prot-200506--103.xml,2005,
i-ACGXquj28C9PyD8hDSFzwp,Q241851,Anf. 83 NYAMKO SABUNI (fp):,NYAMKO SABUNI,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200506/prot-200506--42.xml,2005,
i-ESan5pBSaB1xNUE17anrh8,Q4973390,Anf. 85 MARIETTA DE POURBAIX-LUNDIN (m):,MARIETTA DE POURBAIX-LUNDIN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200506/prot-200506--120.xml,2005,
i-Tx6GwYbiVazWhmdKA6H427,Q3370194,Anf. 32 SVEN-ERIK ÖSTERBERG (s):,SVEN-ERIK ÖSTERBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200607/prot-200607--134.xml,2006,
i-KZT9JAYAh3CDtixtX8KdkY,Q911372,Anf. 84 Statsrådet JAN BJÖRKLUND (fp):,JAN BJÖRKLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200607/prot-200607--20.xml,2006,
i-LwzuMvQh734thhZr2uhKWr,Q52920,Anf. 7 Statsminister FREDRIK REINFELDT (m) replik:,FREDRIK REINFELDT,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200607/prot-200607--125.xml,2006,
i-FZjYUYhEUeYxd2qsWmTGzK,Q5777864,Anf. 46 LARS GUSTAFSSON (kd) replik:,LARS GUSTAFSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200708/prot-200708--83.xml,2007,
i-Wy7DGVH4xerBveStScLgGi,Q4964936,Anf. 84 CECILIA MAGNUSSON (m) replik:,CECILIA MAGNUSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200708/prot-200708--37.xml,2007,
i-Tt265GHNhMuZnssMVY62DH,Q964124,Anf. 101 LENNART SACRÉDEUS (kd):,LENNART SACRÉDEUS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200708/prot-200708--14.xml,2007,
i-AkNC1RuWU1Mytcxse6Z3Xg,Q6086370,Anf. 185 PETER RÅDBERG (mp) replik:,PETER RÅDBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200809/prot-200809--52.xml,2008,
i-BXyZ81TCCHEtmfn7fDW1iE,Q52920,Anf. 27 Statsminister FREDRIK REINFELDT (m):,FREDRIK REINFELDT,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200809/prot-200809--42.xml,2008,
i-RLNEywTU2qDP6Sj2w8C4e7,Q5886707,Anf. 97 JÖRGEN JOHANSSON (c):,JÖRGEN JOHANSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200809/prot-200809--103.xml,2008,
i-Eecvoy6bQBHnwfuhYJgWke,Q5570168,Anf. 79 FINN BENGTSSON (m):,FINN BENGTSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200910/prot-200910--46.xml,2009,
i-2sZEPk39pqEnMNCcef3uNU,Q5573582,Anf. 60 SVEN BERGSTRÖM (c) replik:,SVEN BERGSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200910/prot-200910--81.xml,2009,
i-UC1pPRE42fjVkKkyXAEHnu,Q3374704,Anf. 164 CARINA HÄGG (s) replik:,CARINA HÄGG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200910/prot-200910--23.xml,2009,
i-WdrdQN2batEcQEnZjFQB1J,Q3374562,Anf. 42 HANS HOFF (S) replik:,HANS HOFF,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201011/prot-201011--114.xml,2010,
i-75ajDaETJt4sXv2KP6T97Z,Q6172463,Anf. 155 ANDERS SELLSTRÖM (KD):,ANDERS SELLSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201011/prot-201011--9.xml,2010,
i-TanTqCLMpS1AB14UsN38GN,Q4962191,Anf. 71 ANNIKA LILLEMETS (MP):,ANNIKA LILLEMETS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201011/prot-201011--100.xml,2010,
i-5E8kKiyL3wXcfQxeY7A4MN,Q5956750,Anf. 133 JAN LINDHOLM (MP) replik:,JAN LINDHOLM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201112/prot-201112--90.xml,2011,
i-3yWaQ8iFRgowDP5hrzFqj9,Q984112,Anf. 8 Försvarsminister STEN TOLGFORS (M):,STEN TOLGFORS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201112/prot-201112--24.xml,2011,
i-78uypeEP4upTGR6C9wLsE7,Q517921,Anf. 22 MARIANNE BERG (V):,MARIANNE BERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201112/prot-201112--58.xml,2011,
i-VZhRJBqUHdgoXCBtDtDcES,Q4991052,Anf. 37 ANETTE ÅKESSON (M):,ANETTE ÅKESSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201213/prot-201213--116.xml,2012,
i-DwwcgbFLe8HuNeUaxGLsWe,Q5581337,Anf. 72 PER BOLUND (MP) replik:,PER BOLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201213/prot-201213--126.xml,2012,
i-EbKuxzX2rrRs7mkXP9EEe3,Q1581082,Anf. 154 HANS LINDE (V) replik:,HANS LINDE,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201213/prot-201213--32.xml,2012,
i-Mqw5wUvkBxPXSf8ztKr6cq,Q3373142,Anf. 40 MARIE NORDÉN (S):,MARIE NORDÉN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201314/prot-201314--69.xml,2013,
i-2h9h2cFzX4tQpXm7jjCrAL,Q3374622,Anf. 227 EVA-LENA JANSSON (S) replik:,EVA-LENA JANSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201314/prot-201314--12.xml,2013,
i-G8xvcMA3FzQAUGaEbpxeHv,Q5816436,Anf. 79 JOHAN HULTBERG (M) replik:,JOHAN HULTBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201314/prot-201314--12.xml,2013,
i-Y49NHHdzPBUYrEqfwMwnWe,Q18238922,Anf. 119 ANDERS FORSBERG (SD) replik:,ANDERS FORSBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--79.xml,2014,
i-LUdZ7FH5vyrG4KS8ijDT8o,Q2029325,Anf. 90 Utbildningsminister GUSTAV FRIDOLIN (MP):,GUSTAV FRIDOLIN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--112.xml,2014,
i-YBCHhumrwUW7YZWWSppNJm,Q4822657,Anf. 75 Statsrådet MEHMET KAPLAN (MP),MEHMET KAPLAN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201415/prot-201415--114.xml,2014,
i-PxHDQ2WMaPBCNwBThfAKx,Q5816436,Anf. 172 JOHAN HULTBERG (M) replik:,JOHAN HULTBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201516/prot-201516--45.xml,2015,
i-VEFsn7qR6sDH3ThJHALn7Y,Q4935873,Anf. 19 Finansminister MAGDALENA ANDERSSON (S):,MAGDALENA ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201516/prot-201516--80.xml,2015,
i-BvjQwrnoghwMZnuU8GAkKL,Q4822657,Anf. 80 Statsrådet MEHMET KAPLAN (MP):,MEHMET KAPLAN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201516/prot-201516--74.xml,2015,
i-E8bF9VQdshMeWCrCXPaavy,Q18600515,Anf. 128 DANIEL BÄCKSTRÖM (C) replik:,DANIEL BÄCKSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--97.xml,2016,
i-Rr7TQ4qJZzhtLXwU4fPuxr,Q4935938,Anf. 76 ULLA ANDERSSON (V) replik:,ULLA ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--33.xml,2016,
i-JJ3zmHmuUKfu5wTnypHX6U,Q5887217,Anf. 70 Justitie- och migrationsminister MORGAN JOHANSSON (S):,MORGAN JOHANSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201617/prot-201617--18.xml,2016,
i-WKoT6DMd3UqUZpLu3Nse1a,Q4964100,Anf. 50 KERSTIN LUNDGREN (C) replik:,KERSTIN LUNDGREN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201718/prot-201718--133.xml,2017,
i-4oiVG7Au59HeYpaJaEp5JJ,Q4356431,Anf. 56 NINA LUNDSTRÖM (L) replik:,NINA LUNDSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201718/prot-201718--60.xml,2017,
i-Y6E88XSXj6jomK36W3j4dt,Q4731041,Anf. 28 ALLAN WIDMAN (L) replik:,ALLAN WIDMAN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201718/prot-201718--73.xml,2017,
i-QsfUJmUzSC6sW9kUpkDdLm,Q70586981,Anf. 128 MARIE-LOUISE HÄNEL SANDSTRÖM (M):,MARIE-LOUISE HÄNEL SANDSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201819/prot-201819--110.xml,2018,
i-QtZ3StxZ6p3dW8y8j5X2eS,Q18202340,Anf. 245 MONICA HAIDER (S):,MONICA HAIDER,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201819/prot-201819--88.xml,2018,
i-TpefCxafRzwHj6GKjvPvHp,Q37013194,Anf. 30 MOMODOU MALCOLM JALLOW (V) replik:,MOMODOU MALCOLM JALLOW,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201819/prot-201819--60.xml,2018,
i-XASvfQg4qgBu2X7VXFjWVY,Q2740012,Anf. 42 Statsminister STEFAN LÖFVEN (S):,STEFAN LÖFVEN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201920/prot-201920--143.xml,2019,
i-RWNM3KxzB8fKg6s5y5QTjr,Q2740012,Anf. 62 Statsminister STEFAN LÖFVEN (S):,STEFAN LÖFVEN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201920/prot-201920--25.xml,2019,
i-BhtNJNtGZHFJdPcGoLT67u,Q5891398,Anf. 62 ANDERS W JONSSON (C) replik:,ANDERS W JONSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/201920/prot-201920--136.xml,2019,
i-TuWo4RdLx3LU32kcNED1wa,Q4970111,Anf. 90 Arbetsmarknadsminister EVA NORDMARK (S):,EVA NORDMARK,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202021/prot-202021--135.xml,2020,
i-Pv11Udc3bHJtF74DgyuHfk,Q5711551,Anf. 104 Infrastrukturminister TOMAS ENEROTH (S):,TOMAS ENEROTH,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202021/prot-202021--82.xml,2020,
i-27TiTvLofp7jb1FvVNSqiM,Q57168821,Anf. 11 JÖRGEN BERGLUND (M):,JÖRGEN BERGLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202021/prot-202021--31.xml,2020,
i-X6tFnkHkJMftXAuMnQ3YUy,Q57168821,Anf. 16 JÖRGEN BERGLUND (M):,JÖRGEN BERGLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202122/prot-202122--5.xml,2021,
i-24AchK6v6TiZHfeKnDBPGx,Q26211839,Anf. 118 TOBIAS ANDERSSON (SD):,TOBIAS ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202122/prot-202122--4.xml,2021,
i-8tzHB8DaqTZ7UU8VPPMZLU,Q4962466,Anf. 108 TERES LINDBERG (S) replik:,TERES LINDBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/202122/prot-202122--42.xml,2021,
